High,Low,Open,Volume,"_time",stock
"116.99","112.49","113.75",2342507,"1641513600.000000",BCUP
"148.59","140.59",144,2553225,"1641513600.000000",NAY
"138.4099","132.51","138.2",9908081,"1641427200.000000",PWNY
"116.17","110.495","111.55",2746182,"1641427200.000000",BCUP
"151.34","142.58","145.689",5939587,"1641427200.000000",NAY
"142.2","137.88","138.31",8956910,"1641340800.000000",PWNY
"115.55","112.08","114.3",2937956,"1641340800.000000",BCUP
"154.5","144.73","152.45",7248113,"1641340800.000000",NAY
"139.95","135.9","136.1",7300011,"1641254400.000000",PWNY
"117.15","112.4","116.941",2376235,"1641254400.000000",BCUP
"163.44","148.86","163.44",6373028,"1641254400.000000",NAY
"136.295","133.63","134.07",4610665,"1641168000.000000",PWNY
"117.23",113,"116.09",1888969,"1641168000.000000",BCUP
"180.28",162,"178.75",4507538,"1641168000.000000",NAY
"134.99","133.61",134,3362060,"1640908800.000000",PWNY
"116.665","115.06","115.82",1546192,"1640908800.000000",BCUP
"181.3","178.01","179.19",1287046,"1640908800.000000",NAY
"134.37","133.33","133.75",3158111,"1640822400.000000",PWNY
"117.58","115.35","115.61",1659979,"1640822400.000000",BCUP
"181.7","177.5147","179.99",1397801,"1640822400.000000",NAY
"134.21","132.3","132.4",4239935,"1640736000.000000",PWNY
"115.69","111.691","112.34",2513704,"1640736000.000000",BCUP
"180.77","172.71","176.81",1118691,"1640736000.000000",NAY
"133.22","131.59","131.6",3447079,"1640649600.000000",PWNY
"115.42","112.34","115.03",1300429,"1640649600.000000",BCUP
"186.28","176.29","185.7",1691764,"1640649600.000000",NAY
"131.65","129.95","130.63",4294499,"1640563200.000000",PWNY
"116.4999","114.31",115,1219563,"1640563200.000000",BCUP
"184.86","179.7701",182,3091947,"1640563200.000000",NAY
"130.96","129.52",130,3649044,"1640217600.000000",PWNY
182,"175.73","179.41",1966106,"1640217600.000000",NAY
"116.82",113,"114.075",1351165,"1640217600.000000",BCUP
"129.79","127.6","129.06",3923198,"1640131200.000000",PWNY
"183.31","174.275","176.98",2765438,"1640131200.000000",NAY
"115.71","112.8","114.04",2039324,"1640131200.000000",BCUP
"129.3356","127.66","127.66",4855972,"1640044800.000000",PWNY
"177.64","163.93","166.99",3523333,"1640044800.000000",NAY
"114.19","110.22","110.5",2117844,"1640044800.000000",BCUP
"127.2","124.7","125.72",4941411,"1639958400.000000",PWNY
"168.85","158.58","163.8",3837131,"1639958400.000000",NAY
"111.83","107.82","109.285",2184572,"1639958400.000000",BCUP
"128.64","125.2093","125.87",10382690,"1639699200.000000",PWNY
"171.38","158.7501",160,17400810,"1639699200.000000",NAY
"111.64","105.45","107.66",3720323,"1639699200.000000",BCUP
"126.6399","123.475","123.51",7280537,"1639612800.000000",PWNY
173,"161.32","172.4",3377477,"1639612800.000000",NAY
"115.27","108.03","112.05",2978092,"1639612800.000000",BCUP
"124.815","122.18","123.8",4990028,"1639526400.000000",PWNY
"171.82","160.03","161.22",3741829,"1639526400.000000",NAY
"113.9","106.53","109.1",2574546,"1639526400.000000",BCUP
"125.03","122.3","122.35",5716124,"1639440000.000000",PWNY
"163.62","153.75","157.32",6585624,"1639440000.000000",NAY
"111.5","107.65","109.1",2589743,"1639440000.000000",BCUP
"124.3554","120.79","123.76",6847468,"1639353600.000000",PWNY
"182.25","169.06","174.94",3405737,"1639353600.000000",NAY
"114.12","109.42","110.9",1779431,"1639353600.000000",BCUP
"125.33","123.36","124.3",4966921,"1639094400.000000",PWNY
"183.16","173.23","177.71",2625545,"1639094400.000000",NAY
"115.27","109.51","114.21",2727774,"1639094400.000000",BCUP
"123.95","121.79","122.15",4601092,"1639008000.000000",PWNY
"185.95","173.17","183.5",2811206,"1639008000.000000",NAY
"118.8","112.48","118.27",2951102,"1639008000.000000",BCUP
"123.38","121.52",122,5483948,"1638921600.000000",PWNY
"184.37","173.41","177.59",2793771,"1638921600.000000",NAY
"120.835","115.15","117.99",2058364,"1638921600.000000",BCUP
"122.08","120.07","120.475",5193991,"1638835200.000000",PWNY
"177.55","165.03","165.37",4073923,"1638835200.000000",NAY
"119.63","116.28","116.39",2637033,"1638835200.000000",BCUP
"121.15","119.4","119.4",4785560,"1638748800.000000",PWNY
"163.55","153.28","160.43",4257224,"1638748800.000000",NAY
"116.2","108.85","112.31",2769445,"1638748800.000000",BCUP
"119.36","117.36","117.36",6630139,"1638489600.000000",PWNY
"168.88","152.82","168.88",5138475,"1638489600.000000",NAY
"116.89","108.08","116.7",4162848,"1638489600.000000",BCUP
"117.98","116.56","117.37",5267149,"1638403200.000000",PWNY
"169.82","158.16","159.6",4291006,"1638403200.000000",NAY
"121.34","112.21","115.56",5529297,"1638403200.000000",BCUP
"118.93","116.85","118.25",5959867,"1638316800.000000",PWNY
185,"161.31","182.85",6259561,"1638316800.000000",NAY
"122.26","111.25","122.11",3906418,"1638316800.000000",BCUP
"119.2399","116.45","117.5",9252701,"1638230400.000000",PWNY
"186.29",174,"183.28",4149828,"1638230400.000000",NAY
"126.16","120.12","125.15",2927531,"1638230400.000000",BCUP
"119.61","117.53","118.62",8949795,"1638144000.000000",PWNY
"187.7","180.75","183.8",4163110,"1638144000.000000",NAY
"126.29","121.3018","125.88",2143127,"1638144000.000000",BCUP
"116.335","114.56",115,3322012,"1637884800.000000",PWNY
"184.9099","178.22",180,1647728,"1637884800.000000",NAY
"125.67","123.85","124.87",1276839,"1637884800.000000",BCUP
"117.27","116.08","116.16",3220802,"1637712000.000000",PWNY
"182.9","171.24","174.57",2900560,"1637712000.000000",NAY
